Country,Lat,Long,TotalCases,TotalDeaths,TotalRecovered
Bolivia,-16.714647,-64.657794,330,27,2
Mauritius,-20.28355598449707,57.571815490722656,324,9,42
Nigeria,9.585453987121582,8.093578338623047,323,10,85
Senegal,14.359614372253418,-14.468459129333496,280,2,171
Montenegro,42.78509521484375,19.248979568481445,273,2,5
Palestinian Authority,31.6253,35.1453,268,2,None
Georgia,41.71665954589844,44.78333282470703,266,3,67
Vietnam,16.167692184448242,107.83905029296875,262,None,144
Guinea,10.437061309814453,-10.934968948364258,250,None,17
Congo (DRC),-2.878549098968506,23.65669059753418,234,20,16
Isle of Man,54.22895812988281,-4.537568092346191,228,2,112
Guernsey,49.45612335205078,-2.579606056213379,218,6,48
Djibouti,11.73109245300293,42.579105377197266,214,2,36
Jersey,49.2114143371582,-2.133455991744995,213,3,None
Sri Lanka,7.6416449546813965,80.69197845458984,210,7,56
Kenya,0.5370280146598816,37.85677719116211,197,8,22
Mayotte,-12.822992324829102,45.14403533935547,196,3,59
Faroe Islands,62.134979248046875,-7.01463508605957,184,None,157
Venezuela,7.156985,-66.223241,181,9,93
Guatemala,15.696108,-90.357092,155,5,19
Martinique,14.653226852416992,-61.01868438720703,155,6,50
Paraguay,-23.241958,-58.392766,147,6,22
Guadeloupe,16.25,-61.58333206176758,143,8,67
El Salvador,13.733006,-88.8665,137,6,22
Brunei,4.4969048500061035,114.6308364868164,136,1,99
Guam,13.443708419799805,144.77774047851562,133,5,58
Gibraltar,36.13597106933594,-5.348627090454102,129,None,84
Rwanda,-1.9999899864196777,29.92605972290039,126,None,25
Cambodia,12.710771560668945,104.91678619384766,122,None,77
Trinidad and Tobago,10.423745155334473,-61.296531677246094,113,8,12
Madagascar,-19.382877349853516,46.69585037231445,106,None,20
Mali,17.35763931274414,-3.524878978729248,105,9,22
Monaco,43.736305236816406,7.423314094543457,93,1,6
Aruba,12.509138107299805,-69.9704360961914,92,None,32
French Guiana,3.9815070629119873,-53.19322967529297,88,1,53
Liechtenstein,47.14126968383789,9.552783012390137,79,1,55
Togo,8.530759811401367,0.976809024810791,76,3,25
Ethiopia,8.62248420715332,39.63431167602539,74,3,10
Jamaica,18.236000061035156,-77.36399841308594,72,4,16
Barbados,13.172222137451172,-59.55642318725586,71,4,11
Congo,-0.8273400068283081,15.241456985473633,60,5,None
Bermuda,32.39096450805664,-64.67505645751953,57,4,29
Gabon,-0.6238250136375427,11.781533241271973,57,1,1
Uganda,1.2772749662399292,32.38970184326172,54,None,4
Cayman Islands,19.318519592285156,-81.24376678466797,53,1,6
French Polynesia,-17.677398681640625,-149.40097045898438,53,None,None
U.S. Virgin Islands,17.732929229736328,-64.76648712158203,51,1,43
Liberia,6.447522163391113,-9.311179161071777,50,5,3
Bahamas,24.679536819458008,-78.05500030517578,47,8,6
Tanzania,-6.267545223236084,34.81095886230469,46,3,7
Guyana,4.978387832641602,-59.08845520019531,45,6,8
Macao SAR,22.145139694213867,113.58858489990234,45,None,13
Zambia,-13.463128089904785,27.787389755249023,43,2,30
Myanmar,21.18514633178711,96.51920318603516,41,4,2
Guinea-Bissau,12.037690162658691,-14.958002090454102,39,None,None
Benin,9.6560640335083,2.3395819664001465,35,1,5
Eritrea,15.359945297241211,38.845680236816406,34,None,None
Haiti,18.933517456054688,-72.67459106445312,33,3,None
Equatorial Guinea,1.5670069456100464,10.465889930725098,25,1,3
